Author1,Author2,Author1-Author2 Link weight,Community ID,Common Genres
Alan W. Watts,Richard Wurmbrand,0.04918344969566773,0,"{'Nonfiction', 'Religion'}"
Alan W. Watts,Viral Dalal,0.005300584795321636,0,{'Nonfiction'}
Alan W. Watts,Wayne A. Grudem,0.04386937582050363,0,"{'Nonfiction', 'Religion'}"
Alan W. Watts,Steve Snyder,0.0056093567251461985,0,{'Nonfiction'}
Alan W. Watts,Steve C. Halbrook,0.1019408163265306,0,{'Religion'}
Alan W. Watts,Catherine Claire Larson,0.048957318892469265,0,"{'Nonfiction', 'Religion'}"
Alan W. Watts,David Nasaw,0.005094736842105262,0,{'Nonfiction'}
Alan W. Watts,Steve Coll,0.005519298245614034,0,{'Nonfiction'}
Alan W. Watts,Andy Rose,0.006059649122807016,0,{'Nonfiction'}
Alan W. Watts,Norman R. Yetman,0.005570760233918127,0,{'Nonfiction'}
Mary Karr,Ann Rule,0.004801477377654662,0,{'Nonfiction'}
Mary Karr,Lafcadio Hearn,0.009559197449158284,0,{'Nonfiction'}
Mary Karr,Leonard Mlodinow,0.004681440443213295,0,{'Nonfiction'}
Mary Karr,Bob Ong,0.004717451523545706,0,{'Nonfiction'}
Mary Karr,Truman Capote,0.004873499538319482,0,{'Nonfiction'}
Mary Karr,Leanda de Lisle,0.021626979455216994,0,"{'Biography', 'Nonfiction'}"
Mary Karr,Eric Blehm,0.024857338411819023,0,"{'Biography', 'Nonfiction'}"
Mary Karr,Mark Bowden,0.021572227608494924,0,"{'Biography', 'Nonfiction'}"
Mary Karr,Hugh Thomas,0.005137580794090489,0,{'Nonfiction'}
Mary Karr,Abbey Sy,0.005149584487534625,0,{'Nonfiction'}
Mary Karr,Wendy J. Glenn,0.021900738688827335,0,"{'Biography', 'Nonfiction'}"
Mary Karr,Yasmin Mogahed,0.005329639889196675,0,{'Nonfiction'}
Mary Karr,Ben Carson,0.023871805170821794,0,"{'Biography', 'Nonfiction'}"
Mary Karr,N.T. Wright,0.005185595567867036,0,{'Nonfiction'}
Mary Karr,Christine Sparks,0.021626979455216994,0,"{'Biography', 'Nonfiction'}"
Mary Karr,Gary Paulsen,0.11220052323791939,0,"{'Memoir', 'Nonfiction', 'Autobiography'}"
Mary Karr,Grace Helbig,0.10612849492151433,0,"{'Memoir', 'Nonfiction', 'Autobiography'}"
Mary Karr,Ramon Bautista,0.004681440443213295,0,{'Nonfiction'}
Mary Karr,Valorie Burton,0.0049935364727608485,0,{'Nonfiction'}
Mary Karr,Augusten Burroughs,0.08828324157433057,0,"{'Biography', 'Memoir', 'Nonfiction', 'Autobiography'}"
Mary Karr,Reader's Digest Association,0.005233610341643582,0,{'Nonfiction'}
Mary Karr,Harriet Ann Jacobs,0.09095175265466299,0,"{'Biography', 'Memoir', 'Nonfiction', 'Autobiography'}"
Mary Karr,Seumas Milne,0.005017543859649121,0,{'Nonfiction'}
Mary Karr,Joseph Rykwert,0.004801477377654662,0,{'Nonfiction'}
